ID,Name,Description,Date,Amount
3471DA17-401F-9633-BF81-4CADA6FD5C79,Kyra Lester,Curabitur dictum. Phasellus in,2017-07-23T04:24:49-07:00,345.54
9F5C9912-936A-FB85-1EDB-9DA87BE7FF1E,Buckminster Alvarado,"dui, in sodales elit erat vitae risus. Duis a mi",2018-11-08T05:44:15-08:00,677.08
B743AC82-3613-13A2-2E42-E0C1F5CBF8A6,Athena Smith,massa lobortis ultrices. Vivamus rhoncus.,2018-11-11T06:19:57-08:00,73.67
74749D4F-A43F-34E8-A687-D54924B17251,Cameron Thompson,"dolor. Fusce mi lorem, vehicula et, rutrum eu,",2019-09-30T06:56:15-07:00,807.6
DB983FEF-AF70-7D2E-86BA-0C2AE749E729,Dawn Alford,Pellentesque ut ipsum,2019-03-06T13:24:31-08:00,820.96
8E6F38E1-5DC7-5030-4513-8FBB237EF5DB,Barclay Sears,sit amet ultricies sem magna,2019-10-28T04:57:29-07:00,116.36
4891AA6C-02DF-A955-951C-9CEEC6D69387,James Melton,"non leo. Vivamus nibh dolor, nonummy ac, feugiat non, lobortis",2019-03-13T09:43:05-07:00,956.72
7BF06B3D-5DF2-9EEA-9E32-1BB284D0ABB9,Medge Powell,elit sed,2018-01-19T20:33:11-08:00,726.37
5DEB3210-1591-B14D-1D51-389F84099E84,Lucas Ray,morbi tristique senectus,2017-06-19T14:05:17-07:00,-439.33
96C6E014-B8DE-7ED0-B0D2-2D1577D2427C,Wang Stevens,ipsum,2018-02-12T09:36:23-08:00,638.14
E267C0EE-D5EA-8F7A-96AB-E78817E6FFFA,Dalton Carey,lectus justo eu arcu. Morbi sit amet massa. Quisque,2018-07-31T15:51:48-07:00,602.37
EF0C48A4-06A3-0437-F9A5-426B1BB00A5F,Jackson Noel,"dui,",2019-03-16T03:52:39-07:00,-319.59
412A0487-22C3-4183-3E2F-AF900725DD38,Ariana Kennedy,"eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum.",2018-09-07T09:06:19-07:00,618.05
BF6A5A4C-4281-84EF-CAAA-FECA9BFD1F9F,Bevis Mcfadden,sagittis,2019-01-22T10:28:19-08:00,400.65
398D3DD0-647D-168A-756D-2B48FEC07D7F,Kasimir Byrd,ridiculus mus. Donec dignissim,2017-09-30T17:57:57-07:00,159.61
1BDF7A90-717E-56EE-355B-14D344F86878,Ava Sargent,Cum sociis natoque,2017-08-20T20:20:34-07:00,462.91
F0E82B90-EE28-1D9E-7722-EF276A54C415,Gray Keith,interdum. Curabitur dictum. Phasellus in felis. Nulla tempor,2018-12-26T09:43:45-08:00,-792.3
2EFFF684-5F6D-F707-25DC-E2222B2151C3,Neil Clemons,molestie. Sed id,2019-06-14T02:43:16-07:00,337.64
18C7AEC2-054E-3746-1E9D-B81DC3B270F2,Tad Knapp,Donec egestas. Duis ac arcu. Nunc mauris. Morbi,2018-02-23T23:41:07-08:00,932.52
02EE993A-5D8E-7448-0217-6874B4CAEE80,April Fields,"urna convallis erat, eget tincidunt dui augue",2019-03-04T20:58:53-08:00,865.94
894CC0E6-8439-B85B-DC23-6D29E7900A93,Lester Mayer,"erat. Sed nunc est, mollis non,",2019-05-20T11:56:46-07:00,335.28
B213B4AF-0082-7B59-029A-5557AF11E770,Harriet Castillo,orci. Ut semper pretium neque.,2019-10-25T12:19:40-07:00,283.23
34FC88F1-BA66-9429-A35C-942CB4E5EB47,Aubrey Sheppard,"tellus sem mollis dui, in sodales elit erat vitae risus.",2018-07-14T05:07:40-07:00,689.31
0E527195-AAED-B7FC-7E4F-D2DFE24C3103,Sebastian Baldwin,rhoncus. Donec est. Nunc,2018-06-12T00:32:55-07:00,172.09
25E590E4-6879-D85F-0364-CF00F15A344F,Emerald Rice,"lobortis risus. In mi pede,",2017-12-19T11:59:39-08:00,564.16
7BD4F1C3-6377-0FF3-F337-7A227A8896DA,Britanni Beck,ac,2018-04-04T18:42:22-07:00,722.49
A7AAEA8B-94C2-8E31-70B0-49E97E32C950,Quon Herring,"lobortis augue scelerisque mollis. Phasellus libero mauris,",2018-06-21T17:18:42-07:00,847.41
6BB82E69-B2AF-22A3-FE97-FD4E3C69FEE1,Hedley Parks,"adipiscing non,",2019-03-07T23:56:56-08:00,-128.23
